Lyrik,"Joseph Karl Benedikt Freiherr von Eichendorff (1788 - 1857), deutscher Dichter, Novellist und Dramatiker","Frischer Morgen! Frisches Herz! Himmelwärts! Laß den Schlaf nun, laß die Sorgen!"
Musk,Elon Musk,"Some people don't like change, but you need to embrace change if the alternative is disaster."
Musk,Elon Musk,I would like to die on Mars. Just not on impact.
Musk,Elon Musk,Life is too short for long-term grudges.
Musk,Elon Musk,"When something is important enough, you do it even if the odds are not in your favor."
Musk,Elon Musk,"If you get up in the morning and think the future is going to be better, it is a bright day. Otherwise, it's not."
CooleFrauen,"Marie Curie, polnisch-französische Chemikerin und Physikerin","Sie müssen ihr Talent entdecken und benutzen. Sie müssen herausfinden, wo ihre Stärke liegt. Haben Sie den Mut, mit ihrem Kopf zu denken. Das wird ihr Selbstvertrauen und ihre Kräfte verdoppeln."
CooleFrauen,"Hannah Arendt, deutsch-amerikanische Politologin","Die Revolutionäre machen nicht die Revolution! Die Revolutionäre sind diejenigen, die wissen, wann die Macht auf der Straße liegt und wann sie sie aufheben können!"
CooleFrauen,"Simone de Beauvoir, französische Schriftstellerin und Feministin","Frauen sind als Hexen verbrannt worden, einfach weil sie schön waren."
CooleFrauen,"Lady Gaga, US-amerikanische Sängerin",Die Perücken füllen die leeren Stellen in meinem Herzen.
CooleFrauen,"Lady Gaga, US-amerikanische Sängerin","Du wirst mich niemals in Flip-Flops und Schlabberhosen sehen. Ich bin Lady Gaga, 24 Stunden täglich."
CooleFrauen,"Juli Zeh, Deutsche Schriftstellerin","Wie wollen wir denn nun sein: stark, schön und erfolgreich - oder edel, hilfreich und gut?"
CooleFrauen,"Meghan Markle, US-amerikanische Schauspielerin",Ein Gesicht ohne Sommersprossen ist wie eine Nacht ohne Sterne.
CooleFrauen,"Vivienne Westwood, englische Modedesignerin","Die Welt ist so amerikanisiert, dass die Menschen hässlicher aussehen als je zuvor."
Wilde,Oscar Wilde,"Auf seine eigene Art zu denken ist nicht selbstsüchtig. Wer nicht auf seine eigene Art denkt, denkt überhaupt nicht."
Wilde,Oscar Wilde,Sich selbst zu lieben ist der Beginn einer lebenslangen Romanze.
Wilde,Oscar Wilde,"Ein Zyniker ist ein Mensch, der von jedem Ding den Preis und von keinem den Wert kennt."
Wilde,Oscar Wilde,"Am Ende wird alles gut. Wenn es nicht gut ist, ist es nicht das Ende. "
Wilde,Oscar Wilde,"Sei du selbst! Alle anderen sind schon vergeben."
Till,Till Prochaska,"Grabe den Brunnen, bevor Du Durst hast."
Till,Till Prochaska,"Wo sich eine Türe schließt, öffnet sich eine andere."
Till,Till Prochaska,"Habe Mut, dich deines eigenen Verstandes zu bedienen"
Till,Till Prochaska,"Frieden ist nicht alles, aber ohne Frieden ist alles nichts."
WildeEn, Oscar Wilde, "I have the simplest tastes. I am always satisfied with the best."
WildeEn, Oscar Wilde, "A thing is not necessarily true because a man dies for it."
WildeEn, Oscar Wilde, "Consistency is the last refuge of the unimaginative."
WildeEn, Oscar Wilde, "It is always a silly thing to give advice, but to give good advice is absolutely fatal."
